op,31,30,29,28,27,26,25,24,23,22,21,20,19,18,17,16,15,14,13,12,11,10,9,8,7,6,5,4,3,2,1,0,ack
op,,,,,,,0,,,,,,,,,,,0,0,0,,,,,,0,1,1,0,0,,,
slt,,,,,,,0,,,,,,,,,,,0,1,,,,,,,0,1,1,0,0,,,
shift,,,,,,,0,,,,,,,,,,,,0,1,,,,,,0,1,1,0,0,,,
op,,,,,,,0,,,,,,,,,,,1,0,0,,,,,,0,1,1,0,0,,,
op,,,,,,,0,,,,,,,,,,,1,1,,,,,,,0,1,1,0,0,,,
mul,,,,,,,1,,,,,,,,,,,0,,,,,,,,0,1,1,0,0,,,
div,,,,,,,1,,,,,,,,,,,1,0,,,,,,,0,1,1,0,0,,,
rem,,,,,,,1,,,,,,,,,,,1,1,,,,,,,0,1,1,0,0,,,
opi,,,,,,,,,,,,,,,,,,0,0,0,,,,,,0,0,1,0,0,,,
slti,,,,,,,,,,,,,,,,,,0,1,,,,,,,0,0,1,0,0,,,
shifti,,,,,,,0,,,,,,,,,,,,0,1,,,,,,0,0,1,0,0,,,
opi,,,,,,,,,,,,,,,,,,1,0,0,,,,,,0,0,1,0,0,,,
opi,,,,,,,,,,,,,,,,,,1,1,,,,,,,0,0,1,0,0,,,
branch,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,0,,,0
jal,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,1,1,,,
jalr,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,0,0,1,,,
lui,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,1,0,1,,,
auipc,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,1,,,
addr,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,0,,,0
load,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,,,1
store,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,0,,,1
fence,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,1,1,,,
ecall,,,,0,,,,,,,,0,,,,,,0,0,0,,,,,,1,1,1,0,0,,,
ebreak,,,,0,,,,,,,,1,,,,,,0,0,0,,,,,,1,1,1,0,0,,,
mret,,,,1,,,0,,,,,0,,,,,,0,0,0,,,,,,1,1,1,0,0,,,
wfi,,,,1,,,0,,,,,1,,,,,,0,0,0,,,,,,1,1,1,0,0,,,
csrrw,,,,,,,,,,,,,,,,,,,0,1,,,,,,1,1,1,0,0,,,
csrrs,,,,,,,,,,,,,,,,,,,1,0,,,,,,1,1,1,0,0,,,
csrrc,,,,,,,,,,,,,,,,,,,1,1,,,,,,1,1,1,0,0,,,